end station id,end station latitude,end station longitude,end station name,count
72,40.76727216,-73.99392888,W 52 St & 11 Ave,3789
79,40.71911552,-74.00666661,Franklin St & W Broadway,2460
82,40.71117416,-74.00016545,St James Pl & Pearl St,1292
83,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl,1980
116,40.74177603,-74.00149746,W 17 St & 8 Ave,5077
119,40.69608941,-73.97803415,Park Ave & St Edwards St,537
120,40.68676793,-73.95928168,Lexington Ave & Classon Ave,1528
127,40.73172428,-74.00674436,Barrow St & Hudson St,5324
128,40.72710258,-74.00297088,MacDougal St & Prince St,6104
143,40.69239502,-73.99337909,Clinton St & Joralemon St,1812
144,40.69839895,-73.98068914,Nassau St & Navy St,1486
146,40.71625008,-74.0091059,Hudson St & Reade St,2698
150,40.720873600000004,-73.98085795,E 2 St & Avenue C,3492
151,40.72210378668603,-73.99724900722505,Cleveland Pl & Spring St,8336
152,40.71473993,-74.00910627,Warren St & W Broadway,395
157,40.69089272,-73.99612349,Henry St & Atlantic Ave,2199
161,40.72917025,-73.99810231,LaGuardia Pl & W 3 St,4949
164,40.75323098,-73.97032517,E 47 St & 2 Ave,2960
168,40.73971301,-73.99456405,W 18 St & 6 Ave,3104
173,40.76068327096592,-73.98452728986742,Broadway & W 49 St,4968
174,40.7381765,-73.97738662,E 25 St & 1 Ave,4069
212,40.74334935,-74.00681753,W 16 St & The High Line,3881
216,40.70037867,-73.99548059,Columbia Heights & Cranberry St,998
217,40.70277159,-73.99383605,Old Fulton St,3335
223,40.73781509,-73.99994661,W 13 St & 7 Ave,4364
224,40.71146364,-74.00552427,Spruce St & Nassau St,2477
228,40.7546011026,-73.971878855,E 48 St & 3 Ave,2607
229,40.72743423,-73.99379025,Great Jones St,5448
236,40.7284186,-73.98713956,St Marks Pl & 2 Ave,7852
237,40.73047309,-73.98672378,E 11 St & 2 Ave,1115
238,40.7361967,-74.00859207,Bank St & Washington St,3612
239,40.69196566,-73.9813018,Willoughby St & Fleet St,2021
241,40.68981035,-73.97493121,DeKalb Ave & S Portland Ave,2648
242,40.697787,-73.973736,Carlton Ave & Flushing Ave,917
244,40.69196035,-73.96536851,Willoughby Ave & Hall St,1537
245,40.69327018,-73.97703874,Myrtle Ave & St Edwards St,1201
247,40.73535398,-74.00483091,Perry St & Bleecker St,5102
248,40.72185379,-74.00771779,Laight St & Hudson St,1039
249,40.71870987,-74.0090009,Harrison St & Hudson St,1434
250,40.72456089,-73.99565293,Lafayette St & Jersey St,5622
251,40.72317958,-73.99480012,Mott St & Prince St,6250
252,40.73226398,-73.99852205,MacDougal St & Washington Sq,3976
254,40.73532427,-73.99800419,W 11 St & 6 Ave,3530
257,40.71939226,-74.00247214,Lispenard St & Broadway,3721
258,40.68940747,-73.96885458,DeKalb Ave & Vanderbilt Ave,2306
259,40.70122128,-74.01234218,South St & Whitehall St,3361
260,40.70365182,-74.01167797,Broad St & Bridge St,1569
261,40.69474881,-73.98362464,Johnson St & Gold St,1239
262,40.6917823,-73.97372990000001,Washington Park,1739
264,40.70706456,-74.00731853,Maiden Ln & Pearl St,2378
265,40.72229346,-73.99147535,Stanton St & Chrystie St,4098
267,40.75097711,-73.98765428,Broadway & W 36 St,2832
268,40.71910537,-73.99973337,Howard St & Centre St,3635
270,40.69308257,-73.97178913,Adelphi St & Myrtle Ave,1509
274,40.68691865,-73.976682,Lafayette Ave & Fort Greene Pl,2541
275,40.68650065,-73.96563307,Washington Ave & Greene Ave,1244
276,40.71748752,-74.0104554,Duane St & Greenwich St,1764
278,40.69766564,-73.98476437,Concord St & Bridge St,1240
280,40.73331967,-73.99510132,E 10 St & 5 Ave,3058
281,40.764397100000004,-73.97371465,Grand Army Plaza & Central Park S,938
282,40.7076449441757,-73.96841526031494,Kent Ave & S 11 St,3037
284,40.7390169121,-74.0026376103,Greenwich Ave & 8 Ave,7835
285,40.73454567,-73.99074142,Broadway & E 14 St,7713
289,40.684568299999995,-73.95881081,Monroe St & Classon Ave,833
291,40.713126,-73.984844,Madison St & Montgomery St,2245
293,40.73020660529954,-73.99102628231049,Lafayette St & E 8 St,7064
295,40.71406667,-73.99293911,Pike St & E Broadway,2963
297,40.734232,-73.986923,E 15 St & 3 Ave,6376
298,40.68683208,-73.9796772,3 Ave & Schermerhorn St,2025
301,40.72217444,-73.98368779,E 2 St & Avenue B,5810
302,40.72082834,-73.97793172,Avenue D & E 3 St,2878
303,40.72362738,-73.99949601,Mercer St & Spring St,5114
304,40.70463334,-74.01361706,Broadway & Battery Pl,4061
305,40.76095756,-73.96724467,E 58 St & 3 Ave,5242
307,40.71427487,-73.98990025,Canal St & Rutgers St,5790
308,40.71307916,-73.99851193,St James Pl & Oliver St,2698
309,40.7149787,-74.013012,Murray St & West St,3323
310,40.68926942,-73.98912867,State St & Smith St,1914
311,40.7172274,-73.98802084,Norfolk St & Broome St,5089
312,40.722055,-73.989111,Allen St & Stanton St,5520
313,40.69610226,-73.96751037,Washington Ave & Park Ave,1384
315,40.70355377,-74.00670227,South St & Gouverneur Ln,3353
316,40.70955958,-74.00653609,Fulton St & William St,2614
317,40.72453734,-73.98185424,E 6 St & Avenue B,6212
319,40.711065999999995,-74.009447,Fulton St & Broadway,5362
320,40.717571,-74.005549,Leonard St & Church St,3298
321,40.69991755,-73.98971773,Cadman Plaza E & Red Cross Pl,1312
323,40.69236178,-73.98631746,Lawrence St & Willoughby St,2479
324,40.689888,-73.981013,DeKalb Ave & Hudson Ave,2069
325,40.73624527,-73.98473765,E 19 St & 3 Ave,5334
326,40.72953837,-73.98426726,E 11 St & 1 Ave,1232
327,40.715337899999994,-74.01658354,Vesey Pl & River Terrace,4481
328,40.72405549,-74.00965965,Watts St & Greenwich St,3361
330,40.71450451,-74.00562789,Reade St & Broadway,2127
331,40.71173107,-73.99193043,Pike St & Monroe St,2870
332,40.71219906,-73.97948148,Cherry St,2893
334,40.74238787,-73.99726235,W 20 St & 7 Ave,5250
335,40.72903917,-73.99404649,Washington Pl & Broadway,3524
336,40.73047747,-73.99906065,Sullivan St & Washington Sq,4479
340,40.71269042,-73.98776323,Madison St & Clinton St,2990
341,40.71782143,-73.97628939,Stanton St & Mangin St,2474
342,40.71739973,-73.98016555,Columbia St & Rivington St,2215
343,40.69794,-73.96986848,Clinton Ave & Flushing Ave,1012
344,40.6851443,-73.95380904,Monroe St & Bedford Ave,1444
346,40.73652889,-74.00618026,Bank St & Hudson St,4385
347,40.728846000000004,-74.00859100000001,Greenwich St & W Houston St,5160
349,40.71850211,-73.98329859,Rivington St & Ridge St,3554
350,40.71559509,-73.9870295,Clinton St & Grand St,6691
351,40.70530954,-74.00612572,Front St & Maiden Ln,1614
353,40.68539567,-73.97431458,S Portland Ave & Hanson Pl,1397
354,40.69363137,-73.96223558,Emerson Pl & Myrtle Ave,1718
355,40.71602118,-73.99974372,Bayard St & Baxter St,4222
356,40.71622644,-73.98261206,Bialystoker Pl & Delancey St,217
358,40.73291553,-74.00711384,Christopher St & Greenwich St,9447
359,40.75510267,-73.97498696,E 47 St & Park Ave,3433
360,40.70717936,-74.00887308,William St & Pine St,3962
361,40.71605866,-73.99190759,Allen St & Hester St,5381
362,40.75172632,-73.98753523,Broadway & W 37 St,2246
363,40.70834698,-74.01713445,West Thames St,2536
364,40.68900443,-73.96023854,Lafayette Ave & Classon Ave,1459
366,40.693261,-73.968896,Clinton Ave & Myrtle Ave,1960
367,40.75828065,-73.97069431,E 53 St & Lexington Ave,3202
368,40.73038599,-74.00214988,Carmine St & 6 Ave,8522
369,40.73224119,-74.00026394,Washington Pl & 6 Ave,4362
372,40.694546087246025,-73.95801365375519,Franklin Ave & Myrtle Ave,858
373,40.69331716,-73.95381995,Willoughby Ave & Walworth St,1245
376,40.70862144,-74.00722156,John St & William St,2316
377,40.72243797,-74.00566443,6 Ave & Canal St,2550
379,40.749156,-73.9916,W 31 St & 7 Ave,5516
380,40.73401143,-74.00293877,W 4 St & 7 Ave S,7331
383,40.735238,-74.000271,Greenwich Ave & Charles St,4638
385,40.75797322,-73.96603308,E 55 St & 2 Ave,4895
386,40.71494807,-74.00234482,Centre St & Worth St,2101
387,40.71273266,-74.0046073,Centre St & Chambers St,3968
388,40.749717753,-74.002950346,W 26 St & 10 Ave,3549
389,40.71044554,-73.96525063,Broadway & Berry St,2812
390,40.69221589,-73.9842844,Duffield St & Willoughby St,2022
391,40.69760127,-73.99344559,Clark St & Henry St,2278
392,40.695065,-73.987167,Jay St & Tech Pl,2883
393,40.72299208,-73.97995466,E 5 St & Avenue C,3280
394,40.72521311,-73.97768752,E 9 St & Avenue C,2399
396,40.680342423,-73.9557689392,Lefferts Pl & Franklin Ave,977
397,40.68415748,-73.96922273,Fulton St & Clermont Ave,1094
398,40.69165183,-73.99997859999999,Atlantic Ave & Furman St,3146
399,40.68851534,-73.9647628,Lafayette Ave & St James Pl,1428
400,40.71926081,-73.98178024,Pitt St & Stanton St,1080
401,40.72019576,-73.98997825,Allen St & Rivington St,5531
402,40.740343200000005,-73.98955109,Broadway & E 22 St,8228
403,40.72502876,-73.99069656,E 2 St & 2 Ave,4595
405,40.739323,-74.008119,Washington St & Gansevoort St,5623
406,40.69512845,-73.99595065,Hicks St & Montague St,1855
408,40.71076228,-73.99400398,Market St & Cherry St,1763
410,40.72066442,-73.98517977,Suffolk St & Stanton St,5204
411,40.72228087,-73.97668709,E 6 St & Avenue D,4886
412,40.715815500000005,-73.99422366,Forsyth St & Canal St,4888
415,40.7047177,-74.00926027,Pearl St & Hanover Square,3385
416,40.68753406,-73.97265183,Cumberland St & Lafayette Ave,1532
417,40.71291224,-74.01020234,Barclay St & Church St,2200
418,40.70224,-73.982578,Front St & Gold St,1272
419,40.69580705,-73.97355569,Carlton Ave & Park Ave,742
420,40.68764484,-73.96968902,Clermont Ave & Lafayette Ave,1170
421,40.69573398,-73.97129668,Clermont Ave & Park Ave,748
422,40.770513,-73.988038,W 59 St & 10 Ave,4382
423,40.76584941,-73.98690506,W 54 St & 9 Ave,4249
426,40.71754834,-74.01322069,West St & Chambers St,10769
427,40.701907,-74.013942,Bus Slip & State St,1896
432,40.72621788,-73.98379855,E 7 St & Avenue A,6395
434,40.74317449,-74.00366443,9 Ave & W 18 St,3675
435,40.74173969,-73.99415556,W 21 St & 6 Ave,12105
436,40.68216564,-73.95399026,Hancock St & Bedford Ave,1190
437,40.6809833854,-73.9500479759,Macon St & Nostrand Ave,1422
438,40.72779126,-73.98564945,St Marks Pl & 1 Ave,6690
439,40.726280700000004,-73.98978041,E 4 St & 2 Ave,5889
440,40.75255434,-73.97282625,E 45 St & 3 Ave,2478
442,40.746646999999996,-73.993915,W 27 St & 7 Ave,4960
443,40.70853074,-73.96408963,Bedford Ave & S 9 St,952
445,40.72740794,-73.98142006,E 10 St & Avenue A,9307
446,40.74487634,-73.99529885,W 24 St & 7 Ave,7094
447,40.76370739,-73.9851615,8 Ave & W 52 St,6306
448,40.75660359,-73.9979009,W 37 St & 10 Ave,5151
450,40.76227205,-73.98788205,W 49 St & 8 Ave,6091
453,40.74475148,-73.99915362,W 22 St & 8 Ave,6112
454,40.75455731,-73.96592976,E 51 St & 1 Ave,3361
455,40.75001986,-73.96905301,1 Ave & E 44 St,2517
456,40.75971079999999,-73.97402311,E 53 St & Madison Ave,3143
458,40.751396,-74.00522600000001,11 Ave & W 27 St,4460
460,40.71285887,-73.96590294,S 4 St & Wythe Ave,5199
461,40.73587678,-73.98205027,E 20 St & 2 Ave,3094
462,40.74691959,-74.00451887,W 22 St & 10 Ave,8197
464,40.75934501,-73.96759673,E 56 St & 3 Ave,2773
465,40.75513557,-73.98658032,Broadway & W 41 St,5009
466,40.74395411,-73.99144871,W 25 St & 6 Ave,5024
467,40.68312489,-73.97895137,Dean St & 4 Ave,1980
468,40.7652654,-73.98192338,Broadway & W 56 St,8241
469,40.76344058,-73.98268129,Broadway & W 53 St,3479
470,40.74345335,-74.00004031,W 20 St & 8 Ave,4944
471,40.71286844,-73.95698119,Grand St & Havemeyer St,2433
472,40.745712100000006,-73.98194829,E 32 St & Park Ave,5079
473,40.72110063,-73.99192540000001,Rivington St & Chrystie St,3935
474,40.7451677,-73.98683077,5 Ave & E 29 St,5004
476,40.74394314,-73.97966069,E 31 St & 3 Ave,6390
477,40.75640548,-73.9900262,W 41 St & 8 Ave,5904
478,40.76030096,-73.99884222,11 Ave & W 41 St,7078
479,40.76019252,-73.9912551,9 Ave & W 45 St,5553
480,40.76669671,-73.99061728,W 53 St & 10 Ave,5050
481,40.71260486,-73.96264403,S 3 St & Bedford Ave,3388
482,40.73935542,-73.99931783,W 15 St & 7 Ave,6178
483,40.73223272,-73.98889957,E 12 St & 3 Ave,5596
484,40.75500254,-73.98014437,W 44 St & 5 Ave,2749
485,40.75038009,-73.98338988,W 37 St & 5 Ave,2994
486,40.7462009,-73.98855723,Broadway & W 29 St,5041
487,40.73314259,-73.97573881,E 20 St & FDR Drive,3795
489,40.75066386,-74.00176802,10 Ave & W 28 St,5597
490,40.751551,-73.993934,8 Ave & W 33 St,6658
492,40.75019995,-73.99093085,W 33 St & 7 Ave,5782
493,40.7568001,-73.98291153,W 45 St & 6 Ave,2967
494,40.74734825,-73.99723551,W 26 St & 8 Ave,5723
495,40.76269882,-73.99301222,W 47 St & 10 Ave,5540
496,40.73726186,-73.99238967,E 16 St & 5 Ave,5299
497,40.73704984,-73.99009296,E 17 St & Broadway,10863
499,40.76915505,-73.98191841,Broadway & W 60 St,10031
500,40.76228826,-73.98336183,Broadway & W 51 St,2922
501,40.744219,-73.97121214,FDR Drive & E 35 St,7070
502,40.714211,-73.981095,Henry St & Grand St,4617
503,40.73827428,-73.98751968,E 20 St & Park Ave,5438
504,40.73221853,-73.98165557,1 Ave & E 16 St,7969
505,40.74901271,-73.98848395,6 Ave & W 33 St,7421
507,40.73912601,-73.97973776,E 25 St & 2 Ave,5454
508,40.76341379,-73.99667444,W 46 St & 11 Ave,3670
509,40.7454973,-74.00197139,9 Ave & W 22 St,8035
510,40.7606597,-73.98042047,W 51 St & 6 Ave,50
513,40.768254,-73.988639,W 56 St & 10 Ave,3454
514,40.76087502,-74.00277668,12 Ave & W 40 St,9351
515,40.76009437,-73.99461843,W 43 St & 10 Ave,6180
516,40.75206862,-73.96784384,E 47 St & 1 Ave,2186
517,40.751581,-73.97791,Pershing Square South,3505
519,40.751872999999996,-73.97770600000001,Pershing Square North,7944
522,40.75714758,-73.97207836,E 51 St & Lexington Ave,2138
525,40.75594159,-74.0021163,W 34 St & 11 Ave,4908
526,40.74765947,-73.98490707,E 33 St & 5 Ave,4438
528,40.74290902,-73.97706058,2 Ave & E 31 St,6415
529,40.75756989999999,-73.99098507,W 42 St & 8 Ave,3927
530,40.771496710544405,-73.99046033620834,11 Ave & W 59 St,4493
531,40.71893904,-73.99266288,Forsyth St & Broome St,4006
532,40.710451,-73.960876,S 5 Pl & S 5 St,6096
533,40.75299641,-73.98721619,Broadway & W 38 St,3162
534,40.70255065,-74.0127234,Water - Whitehall Plaza,1355
536,40.74144387,-73.97536082,1 Ave & E 30 St,4149
539,40.71534825,-73.96024116,Metropolitan Ave & Bedford Ave,4534
540,40.74311555376486,-73.98215353488922,Lexington Ave & E 29 St,3996
545,40.736502,-73.97809472,E 23 St & 1 Ave,5791
546,40.74444921,-73.98303529,E 30 St & Park Ave S,3344
2000,40.70255088,-73.98940236,Front St & Washington St,4391
2002,40.716887,-73.96319799999999,Wythe Ave & Metropolitan Ave,4290
2003,40.73381219196632,-73.9805442094803,1 Ave & E 18 St,6419
2005,40.70531194,-73.97100056,Railroad Ave & Kay Ave,91
2006,40.76590936,-73.97634151,Central Park S & 6 Ave,8405
2008,40.70569254,-74.01677685,Little West St & 1 Pl,6560
2009,40.71117444,-73.99682619,Catherine St & Monroe St,2350
2010,40.72170005235607,-74.00238141417502,Grand St & Greene St,3506
2012,40.739445,-73.97680600000001,E 27 St & 1 Ave,6175
2017,40.75022392,-73.97121414,E 43 St & 2 Ave,2573
2021,40.75929124,-73.98859651,W 45 St & 8 Ave,3596
2022,40.759107,-73.959223,E 60 St & York Ave,1079
3016,40.72036775298455,-73.96165072917937,Kent Ave & N 7 St,6569
3041,40.67890679,-73.94142771,Kingston Ave & Herkimer St,1398
3042,40.6794268,-73.92989109999999,Fulton St & Utica Ave,1598
3043,40.6814598,-73.934903,Lewis Ave & Decatur St,1080
3044,40.6800105,-73.938475,Albany Ave & Fulton St,566
3046,40.682601,-73.938037,Marcus Garvey Blvd & Macon St,917
3047,40.682368700000005,-73.944118,Halsey St & Tompkins Ave,1310
3048,40.684020000000004,-73.94977,Putnam Ave & Nostrand Ave,710
3049,40.68488,-73.96304,Cambridge Pl & Gates Ave,1248
3050,40.6851532,-73.94111,Putnam Ave & Throop Ave,1022
3052,40.686312,-73.935775,Lewis Ave & Madison St,1672
3053,40.6900815,-73.94791500000001,Marcy Ave & Lafayette Ave,1273
3054,40.6894932,-73.942061,Greene Ave & Throop Ave,1219
3055,40.68833370000001,-73.950916,Greene Ave & Nostrand Ave,1282
3056,40.69072549,-73.95133465,Kosciuszko St & Nostrand Ave,1235
3057,40.69128258,-73.9452416,Kosciuszko St & Tompkins Ave,1134
3058,40.69237074,-73.93705428,Lewis Ave & Kosciuszko St,1113
3059,40.693398200000004,-73.939877,Pulaski St & Marcus Garvey Blvd,833
3060,40.69425403,-73.94626915,Willoughby Ave & Tompkins Ave,1212
3061,40.69622937,-73.94371094,Throop Ave & Myrtle Ave,580
3062,40.69539817,-73.94954908,Myrtle Ave & Marcy Ave,958
3063,40.69527008,-73.95238108,Nostrand Ave & Myrtle Ave,818
3064,40.69681963,-73.93756926,Myrtle Ave & Lewis Ave,762
3065,40.70029511,-73.95032283,Union Ave & Wallabout St,610
3066,40.69957608,-73.94708417,Tompkins Ave & Hopkins St,634
3067,40.7016657,-73.9437303,Broadway & Whipple St,1403
3068,40.7031724,-73.940636,Humboldt St & Varet St,821
3069,40.70411791,-73.94818595,Lorimer St & Broadway,464
3070,40.70510918,-73.94407279,McKibbin St & Manhattan Ave,978
3071,40.70538077,-73.94976519,Boerum St & Broadway,1118
3072,40.70583339,-73.94644578,Leonard St & Boerum St,841
3074,40.70767788,-73.94016171,Montrose Ave & Bushwick Ave,1647
3075,40.70708701,-73.95796783,Division Ave & Marcy Ave,403
3076,40.70870368,-73.9448625,Scholes St & Manhattan Ave,2230
3077,40.70877084,-73.95095259,Stagg St & Union Ave,2802
3078,40.70924826276157,-73.96063148975372,Broadway & Roebling St,1648
3080,40.709340000000005,-73.95608,S 4 St & Rodney St,1828
3081,40.711863,-73.944024,Graham Ave & Grand St,2098
3082,40.71167351,-73.95141312,Hope St & Union Ave,2783
3083,40.71247661,-73.94100005,Bushwick Ave & Powers St,1109
3085,40.714690000000004,-73.95739,Roebling St & N 4 St,2234
3086,40.715143,-73.944507,Graham Ave & Conselyea St,2064
3087,40.71413311,-73.95234386,Metropolitan Ave & Meeker Ave,1880
3088,40.7160751,-73.95202900000001,Union Ave & Jackson St,1302
3092,40.7190095,-73.95852515,Berry St & N 8 St,3196
3093,40.71745169,-73.95850939,N 6 St & Bedford Ave,3907
3094,40.7169811,-73.94485918,Graham Ave & Withers St,1263
3095,40.71929301,-73.94500379,Graham Ave & Herbert St,698
3096,40.71924,-73.95241999999999,Union Ave & N 12 St,3429
3100,40.724812564400175,-73.94752621650694,Nassau Ave & Newell St,1498
3101,40.72079821,-73.95484712,N 12 St & Bedford Ave,2148
3102,40.72179134,-73.95041540000001,Driggs Ave & Lorimer St,1501
3105,40.724055,-73.955736,N 15 St & Wythe Ave,752
3106,40.72325,-73.94308000000001,Driggs Ave & N Henry St,1578
3107,40.72311651,-73.95212324,Bedford Ave & Nassau Ave,3064
3108,40.725570000000005,-73.94434,Nassau Ave & Russell St,1788
3109,40.72606,-73.95621,Banker St & Meserole Ave,1233
3110,40.72708584,-73.95299117,Meserole Ave & Manhattan Ave,1967
3112,40.72906,-73.95779,Milton St & Franklin St,3498
3113,40.730259999999994,-73.95394,Greenpoint Ave & Manhattan Ave,1857
3115,40.73232194,-73.9550858,India St & Manhattan Ave,2054
3116,40.732659999999996,-73.95826,Huron St & Franklin St,2138
3117,40.735640000000004,-73.95866,Franklin St & Dupont St,2266
3118,40.73555,-73.95284000000001,McGuinness Blvd & Eagle St,1771
3119,40.74232744,-73.95411749,Vernon Blvd & 50 Ave,1732
3121,40.74524768,-73.94733276,Jackson Ave & 46 Rd,727
3122,40.74436328706688,-73.95587325096129,48 Ave & 5 St,740
3123,40.74469738,-73.93540375,31 St & Thomson Ave,656
3124,40.74731,-73.95451,46 Ave & 5 St,2306
3125,40.74708586,-73.94977234,45 Rd & 11 St,1506
3126,40.74718234,-73.9432635,44 Dr & Jackson Ave,1836
3127,40.74966,-73.9521,9 St & 44 Rd,483
3128,40.75052534,-73.94594845,21 St & 43 Ave,339
3129,40.75110165,-73.94073717,Queens Plaza North & Crescent St,4160
3130,40.75325964,-73.94335788,21 St & Queens Plaza North,919
3131,40.76712840349542,-73.96224617958069,E 68 St & 3 Ave,764
3132,40.76350532,-73.97109243,E 59 St & Madison Ave,3211
3134,40.76312584,-73.96526895,3 Ave & E 62 St,3374
3135,40.77112927,-73.95772297,E 75 St & 3 Ave,2332
3136,40.766368,-73.971518,5 Ave & E 63 St,3631
3137,40.77282817,-73.96685276,5 Ave & E 73 St,6641
3139,40.77118287540658,-73.96409422159195,E 72 St & Park Ave,2233
3140,40.77140426,-73.9535166,1 Ave & E 78 St,6609
3141,40.76500525,-73.95818491,1 Ave & E 68 St,11914
3142,40.761227399999996,-73.96094022,1 Ave & E 62 St,6704
3143,40.77632142182271,-73.96427392959596,5 Ave & E 78 St,4261
3144,40.77677702,-73.95900970000001,E 81 St & Park Ave,1332
3145,40.77862688,-73.95772073,E 84 St & Park Ave,2189
3146,40.77573034,-73.9567526,E 81 St & 3 Ave,2183
3147,40.77801203,-73.95407149,E 85 St & 3 Ave,5669
3148,40.77565541,-73.95068615,E 84 St & 1 Ave,4211
3150,40.77536905,-73.94803392,E 85 St & York Ave,2244
3151,40.7728384,-73.94989233,E 81 St & York Ave,2952
3152,40.76873687,-73.96119945,3 Ave & E 71 St,2152
3154,40.77314236,-73.95856158,E 77 St & 3 Ave,2670
3156,40.76663814,-73.95348296,E 72 St & York Ave,4937
3157,40.77518615,-73.94446054,East End Ave & E 86 St,1770
3158,40.77163851,-73.98261428,W 63 St & Broadway,4634
3159,40.77492513,-73.98266566,W 67 St & Broadway,3536
3160,40.77896784,-73.97374737,Central Park West & W 76 St,3774
3161,40.7801839724239,-73.97728532552719,W 76 St & Columbus Ave,2837
3163,40.7734066,-73.97782542,Central Park West & W 68 St,6196
3164,40.7770575,-73.97898475,Columbus Ave & W 72 St,6756
3165,40.77579376683666,-73.97620573639871,Central Park West & W 72 St,6911
3166,40.780577990103346,-73.98562431335448,Riverside Dr & W 72 St,4797
3167,40.779668090073116,-73.98093044757842,Amsterdam Ave & W 73 St,6059
3169,40.78720869,-73.98128127,Riverside Dr & W 82 St,2601
3170,40.78499979,-73.97283406,W 84 St & Columbus Ave,3682
3171,40.78524672,-73.97667321,Amsterdam Ave & W 82 St,4287
3172,40.7785669,-73.97754961,W 74 St & Columbus Ave,2649
3173,40.777507027547976,-73.98888587951659,Riverside Blvd & W 67 St,4505
3175,40.77748046,-73.98288594,W 70 St & Amsterdam Ave,4507
3177,40.7867947,-73.977112,W 84 St & Broadway,2633
3178,40.78414472,-73.98362492,Riverside Dr & W 78 St,2103
3179,40.698617,-73.941342,Park Ave & Marcus Garvey Blvd,744
3182,40.686931,-74.016966,Yankee Ferry Terminal,1792
3184,40.7141454,-74.0335519,Paulus Hook,1
3185,40.717732500000004,-74.04384499999999,City Hall,2
3192,40.711242299999995,-74.0557013,Liberty Light Rail,1
3195,40.73089709786179,-74.06391263008119,Sip Ave,2
3196,40.7443187,-74.04399090000001,Riverview Park,3
3198,40.748715945380226,-74.04044330120088,Heights Elevator,7
3199,40.728744799999994,-74.03210820000001,Newport Pkwy,4
3202,40.7272235,-74.03375890000001,Newport PATH,4
3206,40.7311689,-74.0575736,Hilltop,1
3221,40.743,-73.93561,47 Ave & 31 St,699
3226,40.78275,-73.97137,W 82 St & Central Park West,2788
3231,40.76780080148132,-73.96592080593109,E 67 St & Park Ave,1356
3232,40.68962188790333,-73.98304268717766,Bond St & Fulton St,2561
3233,40.75724567911726,-73.97805914282799,E 48 St & 5 Ave,3075
3235,40.752165280621966,-73.97992193698882,E 41 St & Madison Ave,2285
3236,40.75898481399634,-73.99379968643187,W 42 St & Dyer Ave,3284
3241,40.686203000000006,-73.944694,Monroe St & Tompkins Ave,1499
